time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-15T22:23:33.900Z,-16.5086,168.1886,46.05,4.5,mb,,100,5.465,0.48,us,us2000ityd,2018-12-15T23:48:38.040Z,"93km ESE of Lakatoro, Vanuatu",earthquake,5.8,10.8,0.156,12,reviewed,us,us
2018-12-15T21:34:26.830Z,-16.4558,168.1345,46.04,4.8,mb,,49,5.469,0.52,us,us2000itxr,2018-12-16T22:18:22.040Z,"85km ESE of Lakatoro, Vanuatu",earthquake,9.1,8.4,0.092,37,reviewed,us,us
2018-12-15T21:21:02.360Z,23.6686,122.0191,10,5,mww,,54,0.635,0.94,us,us2000itxb,2018-12-17T13:59:33.963Z,"54km SE of Hualian, Taiwan",earthquake,4.2,1.8,0.073,18,reviewed,us,us
2018-12-15T21:11:43.390Z,0.245,-78.9322,49.78,5,mb,,130,0.481,0.68,us,us2000itx6,2018-12-16T21:53:30.501Z,"59km NNE of Santo Domingo de los Colorados, Ecuador",earthquake,7.8,6.4,0.032,312,reviewed,us,us
2018-12-15T21:03:39.090Z,49.0443,154.7478,69.29,4.5,mb,,164,4.474,0.69,us,us2000itx5,2018-12-16T21:51:29.040Z,"207km SSW of Severo-Kuril'sk, Russia",earthquake,7.1,8.3,0.072,57,reviewed,us,us
2018-12-15T20:43:01.630Z,-5.707,152.0965,10,4.5,mb,,180,1.507,1.04,us,us2000itx0,2018-12-15T21:28:19.040Z,"150km S of Kokopo, Papua New Guinea",earthquake,10.4,2,0.157,12,reviewed,us,us
2018-12-15T20:21:57.780Z,-16.3677,168.2126,34.73,5.6,mww,,52,5.585,0.75,us,us2000itwu,2018-12-15T22:24:00.794Z,"89km ESE of Lakatoro, Vanuatu",earthquake,8.9,4.7,0.073,18,reviewed,us,us
2018-12-15T19:29:02.570Z,-16.3676,168.047,10,4.9,mb,,59,5.481,0.62,us,us2000itwl,2018-12-15T20:26:42.040Z,"72km ESE of Lakatoro, Vanuatu",earthquake,8.5,1.9,0.106,29,reviewed,us,us
2018-12-15T16:28:17.870Z,39.2227,141.806,63.26,4.7,mb,,97,1.569,1.1,us,us2000iuj6,2018-12-17T22:26:23.040Z,"8km SW of Kamaishi, Japan",earthquake,7,6.4,0.052,112,reviewed,us,us
2018-12-15T16:12:14.130Z,-8.2597,119.5284,182.36,4.5,mb,,51,2.706,1.07,us,us2000itvc,2018-12-15T19:28:41.040Z,"35km N of Komodo, Indonesia",earthquake,7.6,7.9,0.089,37,reviewed,us,us
2018-12-15T12:12:49.230Z,-19.969,-70.9486,16.68,4.7,mb,,138,0.824,0.68,us,us2000itug,2018-12-15T13:57:51.559Z,"88km WNW of Iquique, Chile",earthquake,4.8,4.3,0.08,48,reviewed,us,us
2018-12-15T09:42:13.820Z,-30.4856,-177.4929,10,5.1,mb,,76,1.293,0.86,us,us2000ittn,2018-12-15T10:02:15.040Z,"140km SSE of Raoul Island, New Zealand",earthquake,4.6,1.9,0.121,22,reviewed,us,us
2018-12-15T08:29:00.480Z,-21.8829,168.8781,10,5,mb,,93,2.267,1.16,us,us2000ittb,2018-12-15T08:54:36.040Z,"109km ESE of Tadine, New Caledonia",earthquake,9.5,1.9,0.089,40,reviewed,us,us
2018-12-15T07:19:05.040Z,-16.3241,167.9872,23.8,4.9,mb,,109,5.478,0.78,us,us2000itt6,2018-12-15T08:31:57.040Z,"65km ESE of Lakatoro, Vanuatu",earthquake,13.9,5.7,0.104,29,reviewed,us,us
2018-12-15T07:15:35.970Z,-19.139,-172.9476,10,4.5,mb,,78,2.856,1.19,us,us2000itsv,2018-12-15T07:48:41.040Z,"121km ESE of Neiafu, Tonga",earthquake,11.9,1.9,0.191,8,reviewed,us,us
2018-12-15T05:51:24.230Z,2.8129,126.5574,68.3,4.6,mb,,107,2.182,0.65,us,us2000itsf,2018-12-15T08:13:34.040Z,"201km NW of Tobelo, Indonesia",earthquake,3.5,8,0.099,30,reviewed,us,us
2018-12-15T04:33:46.840Z,-5.7395,147.4158,140.08,4.7,mb,,187,3.65,0.75,us,us2000its4,2018-12-15T04:52:43.040Z,"107km NNW of Finschhafen, Papua New Guinea",earthquake,12,14.5,0.158,13,reviewed,us,us
2018-12-15T03:37:07.510Z,-3.5359,101.5535,50.13,4.5,mb,,115,1.621,1.02,us,us2000itru,2018-12-15T04:00:15.040Z,"84km WNW of Bengkulu, Indonesia",earthquake,5,9.8,0.124,19,reviewed,us,us
