time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T11:17:07.328Z,60.0366,-152.2394,101.1,2.1,ml,,,,0.46,ak,ak20522821,2018-12-19T11:24:35.871Z,"36km NW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-12-19T11:12:25.650Z,38.8128319,-122.8148346,2.55,0.61,md,16,70,0.01118,0.02,nc,nc73123070,2018-12-19T11:47:02.506Z,"6km NW of The Geysers, CA",earthquake,0.3,0.69,0.3,2,automatic,nc,nc
2018-12-19T11:11:28.077Z,61.3743,-150.0821,39.5,1.6,ml,,,,0.42,ak,ak20522819,2018-12-19T11:14:31.424Z,"17km SSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-19T10:54:29.910Z,32.909,-116.3321667,11.34,0.9,ml,18,91,0.0777,0.17,ci,ci38166671,2018-12-19T14:23:04.769Z,"21km ENE of Pine Valley, CA",earthquake,0.39,0.84,0.146,12,reviewed,ci,ci
2018-12-19T10:52:06.610Z,61.829,-149.3192,13.3,1.7,ml,,,,1.04,ak,ak20522812,2018-12-19T10:57:14.906Z,"10km NNW of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T10:33:01.860Z,19.4051666,-155.2830048,0.2,1.71,md,22,31,0.01247,0.11,hv,hv70738011,2018-12-19T10:38:44.790Z,"5km WSW of Volcano, Hawaii",earthquake,0.12,0.12,0.35,15,automatic,hv,hv
2018-12-19T10:28:57.920Z,36.5246667,-89.574,7.45,1.21,md,15,68,0.02948,0.04,nm,nm60222272,2018-12-19T14:22:16.270Z,"8km SSW of New Madrid, Missouri",earthquake,0.42,0.66,0.069,12,reviewed,nm,nm
2018-12-19T10:12:43.505Z,61.4723,-149.9209,38.6,1.8,ml,,,,0.66,ak,ak20522807,2018-12-19T10:16:09.773Z,"5km SSE of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-12-19T10:01:55.311Z,61.454,-150.0508,43.2,1.3,ml,,,,0.55,ak,ak20522806,2018-12-19T10:04:55.583Z,"9km SW of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-12-19T09:53:43.235Z,64.7765,-151.0507,5.2,1.9,ml,,,,1.15,ak,ak20522804,2018-12-19T09:58:43.092Z,"31km SW of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
